domain,method,run_name,seed_tag,seed_metadata,seed_metadata_matches_tag,n_train,n_test,accuracy_pct,source_json,base_accuracy_pct,delta_from_base_pp
Math,SFT,seed42_n100,42,42,True,100,1319,87.79378316906747,eval_results/trained/math_sft_seed42_n100.json,84.38210765731615,3.4116755117513122
Math,SFT,seed123_n100,123,123,True,100,1319,88.55193328279,eval_results/trained/math_sft_seed123_n100.json,84.38210765731615,4.169825625473848
Math,SFT,seed456_n100,456,42,False,100,1319,87.64215314632298,eval_results/trained/math_sft_seed456_n100.json,84.38210765731615,3.260045489006828
Math,SFT,seed789_n100,789,42,False,100,1319,87.33889310083397,eval_results/trained/math_sft_seed789_n100.json,84.38210765731615,2.9567854435178162
Math,GRPO-5e-7,FIXED_seed42_gsm8k_n2000,42,42,True,2000,1319,84.68536770280515,eval_results/trained/math_grpo_FIXED_seed42_gsm8k_n2000.json,84.38210765731615,0.3032600454889973
Math,GRPO-5e-7,FIXED_seed123_gsm8k_n2000,123,123,True,2000,1319,85.36770280515542,eval_results/trained/math_grpo_FIXED_seed123_gsm8k_n2000.json,84.38210765731615,0.9855951478392626
Math,GRPO-high,FIXED_seed42_gsm8k_lr2e5,42,42,True,0,1319,92.7975739196361,eval_results/trained/math_grpo_FIXED_seed42_gsm8k_lr2e5.json,84.38210765731615,8.415466262319939
Math,GRPO-high,FIXED_seed123_gsm8k_n2000_lr2e5,123,123,True,2000,1319,92.26686884003033,eval_results/trained/math_grpo_FIXED_seed123_gsm8k_n2000_lr2e5.json,84.38210765731615,7.884761182714172
Math,GRPO-high,FIXED_seed456_gsm8k_n2000_lr2e5,456,42,False,2000,1319,91.50871872630782,eval_results/trained/math_grpo_FIXED_seed456_gsm8k_n2000_lr2e5.json,84.38210765731615,7.126611068991664
Math,GRPO-high,FIXED_seed789_gsm8k_n2000_lr2e5,789,42,False,2000,1319,91.50871872630782,eval_results/trained/math_grpo_FIXED_seed789_gsm8k_n2000_lr2e5.json,84.38210765731615,7.126611068991664
Science,SFT,seed42_n5000,42,42,True,5000,5413,73.85922778496213,eval_results/trained/science_sft_seed42_n5000.json,71.10659523369665,2.752632551265478
Science,SFT,seed123_n5000,123,123,True,5000,5413,73.60059116940698,eval_results/trained/science_sft_seed123_n5000.json,71.10659523369665,2.4939959357103305
Science,SFT,seed456_n5000,456,42,False,5000,5413,74.11786440051728,eval_results/trained/science_sft_seed456_n5000.json,71.10659523369665,3.0112691668206253
Science,SFT,seed789_n5000,789,42,False,5000,5413,72.97247367448735,eval_results/trained/science_sft_seed789_n5000.json,71.10659523369665,1.865878440790695
Science,GRPO-5e-7,FIXED_seed42_n2000,42,42,True,2000,5413,71.19896545353778,eval_results/trained/science_grpo_FIXED_seed42_n2000.json,71.10659523369665,0.09237021984112914
Science,GRPO-5e-7,FIXED_seed123_n2000,123,123,True,2000,5413,71.71623868464808,eval_results/trained/science_grpo_FIXED_seed123_n2000.json,71.10659523369665,0.6096434509514239
Science,GRPO-high,FIXED_seed42_n2000_lr2e5,42,42,True,2000,5413,77.8126731941622,eval_results/trained/science_grpo_FIXED_seed42_n2000_lr2e5.json,71.10659523369665,6.706077960465549
Science,GRPO-high,FIXED_seed123_n2000_lr2e5,123,123,True,2000,5413,79.05043414003326,eval_results/trained/science_grpo_FIXED_seed123_n2000_lr2e5.json,71.10659523369665,7.943838906336609
Science,GRPO-high,FIXED_seed456_n2000_lr2e5,456,42,False,2000,5413,81.13800110844264,eval_results/trained/science_grpo_FIXED_seed456_n2000_lr2e5.json,71.10659523369665,10.031405874745985
Science,GRPO-high,FIXED_seed789_n2000_lr2e5,789,42,False,2000,5413,78.38536855717717,eval_results/trained/science_grpo_FIXED_seed789_n2000_lr2e5.json,71.10659523369665,7.278773323480522
Medicine,SFT,seed42_n100,42,42,True,100,1273,59.78004713275726,eval_results/trained/medicine_sft_seed42_n100.json,59.151610369206594,0.6284367635506669
Medicine,SFT,seed123_n100,123,123,True,100,1273,60.015710919088775,eval_results/trained/medicine_sft_seed123_n100.json,59.151610369206594,0.8641005498821812
Medicine,SFT,seed456_n100,456,42,False,100,1273,60.48703849175177,eval_results/trained/medicine_sft_seed456_n100.json,59.151610369206594,1.3354281225451743
Medicine,SFT,seed789_n100,789,42,False,100,1273,58.36606441476826,eval_results/trained/medicine_sft_seed789_n100.json,59.151610369206594,-0.7855459544383336
Medicine,GRPO-5e-7,FIXED_seed42_n2000,42,42,True,2000,1273,59.07305577376276,eval_results/trained/medicine_grpo_FIXED_seed42_n2000.json,59.151610369206594,-0.07855459544383336
Medicine,GRPO-5e-7,FIXED_seed123_n2000,123,123,True,2000,1273,58.36606441476826,eval_results/trained/medicine_grpo_FIXED_seed123_n2000.json,59.151610369206594,-0.7855459544383336
Medicine,GRPO-high,FIXED_seed42_n2000_lr2e5,42,42,True,2000,1273,65.35742340926944,eval_results/trained/medicine_grpo_FIXED_seed42_n2000_lr2e5.json,59.151610369206594,6.20581304006285
Medicine,GRPO-high,FIXED_seed123_n2000_lr2e5,123,123,True,2000,1273,67.87117046347211,eval_results/trained/medicine_grpo_FIXED_seed123_n2000_lr2e5.json,59.151610369206594,8.719560094265518
Medicine,GRPO-high,FIXED_seed456_n2000_lr2e5,456,42,False,2000,1273,63.1578947368421,eval_results/trained/medicine_grpo_FIXED_seed456_n2000_lr2e5.json,59.151610369206594,4.006284367635509
Medicine,GRPO-high,FIXED_seed789_n2000_lr2e5,789,42,False,2000,1273,61.11547525530243,eval_results/trained/medicine_grpo_FIXED_seed789_n2000_lr2e5.json,59.151610369206594,1.963864886095834
Law,SFT,seed42,42,42,True,0,10403,58.80995866576949,eval_results/trained/law_sft_seed42.json,57.58915697394982,1.2208016918196734
Law,SFT,seed123,123,123,True,0,10403,58.76189560703643,eval_results/trained/law_sft_seed123.json,57.58915697394982,1.1727386330866096
Law,SFT,seed456,456,42,False,0,10403,58.886859559742376,eval_results/trained/law_sft_seed456.json,57.58915697394982,1.2977025857925568
Law,GRPO-5e-7,FIXED_seed42,42,42,True,0,10403,54.56118427376718,eval_results/trained/law_grpo_FIXED_seed42.json,57.58915697394982,-3.0279727001826373
Law,GRPO-high,FIXED_seed42_lr5e6,42,42,True,0,10403,58.91569739498222,eval_results/trained/law_grpo_FIXED_seed42_lr5e6.json,57.58915697394982,1.3265404210323979
Law,GRPO-high,FIXED_seed123_lr5e6,123,123,True,0,10403,58.02172450254734,eval_results/trained/law_grpo_FIXED_seed123_lr5e6.json,57.58915697394982,0.4325675285975237
Law,GRPO-high,FIXED_seed456_lr5e6,456,42,False,0,10403,57.69489570316255,eval_results/trained/law_grpo_FIXED_seed456_lr5e6.json,57.58915697394982,0.10573872921273164
Law,GRPO-high,FIXED_seed789_lr5e6,789,42,False,0,10403,59.65586849947131,eval_results/trained/law_grpo_FIXED_seed789_lr5e6.json,57.58915697394982,2.066711525521491
Commonsense,SFT,seed42,42,42,True,0,12418,46.50507328072153,eval_results/trained/commonsense_sft_seed42.json,43.783217909486225,2.721855371235307
Commonsense,SFT,seed123,123,123,True,0,12418,47.173457883717184,eval_results/trained/commonsense_sft_seed123.json,43.783217909486225,3.3902399742309584
Commonsense,SFT,seed456,456,42,False,0,12418,47.036559832501204,eval_results/trained/commonsense_sft_seed456.json,43.783217909486225,3.253341923014979
Commonsense,SFT,seed789,789,42,False,0,12418,46.674182638105975,eval_results/trained/commonsense_sft_seed789.json,43.783217909486225,2.8909647286197497
Commonsense,GRPO-5e-7,FIXED_seed42_n2000,42,42,True,2000,12418,44.41939120631341,eval_results/trained/commonsense_grpo_FIXED_seed42_n2000.json,43.783217909486225,0.636173296827188
Commonsense,GRPO-high,FIXED_seed42_n2000_lr2e5,42,42,True,2000,12418,54.67869222096956,eval_results/trained/commonsense_grpo_FIXED_seed42_n2000_lr2e5.json,43.783217909486225,10.895474311483333
Commonsense,GRPO-high,FIXED_seed123_n2000_lr2e5,123,123,True,2000,12418,67.43436946368175,eval_results/trained/commonsense_grpo_FIXED_seed123_n2000_lr2e5.json,43.783217909486225,23.651151554195522
Commonsense,GRPO-high,FIXED_seed456_n2000_lr2e5,456,42,False,2000,12418,57.36028345949429,eval_results/trained/commonsense_grpo_FIXED_seed456_n2000_lr2e5.json,43.783217909486225,13.577065550008065
